,city,cloudiness,country,humidity,lat,temp,wind_speed
0,Kruisfontein,0,ZA,88,-34.0,57.34,14.16
1,Yellowknife,75,CA,40,62.45,73.4,8.05
2,Zyryanka,0,RU,26,65.73,75.07,3.87
3,La Roda,0,ES,52,39.21,69.8,6.93
4,Woodland,90,US,68,45.91,68.95,5.82
5,Ushuaia,75,AR,92,-54.81,30.2,11.41
6,Mataura,44,NZ,100,-46.19,37.36,4.88
7,Cabo San Lucas,5,MX,47,22.89,85.46,8.05
8,Avarua,40,CK,78,-21.21,80.6,6.93
9,Jamestown,0,AU,84,-33.21,39.97,2.98
10,Gariaband,68,IN,98,20.63,73.0,4.72
11,Kapaa,40,US,69,22.08,82.4,11.41
12,Punta Arenas,40,CL,100,-53.16,32.0,17.22
13,Oktyabrskoye,12,RU,57,56.73,66.07,7.63
14,Whitefish,20,US,68,48.41,66.2,4.7
15,Henties Bay,8,NA,100,-22.12,54.46,2.71
16,Pechenga,0,RU,82,58.89,50.41,3.53
17,Samur,0,RU,78,41.83,73.18,5.84
18,Rikitea,68,PF,100,-23.12,72.19,7.29
19,Faya,5,SA,22,18.39,76.14,8.23
20,Kimbe,44,PG,100,-5.56,82.18,1.48
21,Aklavik,20,CA,52,68.22,70.72,5.82
22,Ilulissat,75,GL,86,69.22,37.4,4.7
23,Sao Filipe,0,CV,100,14.9,73.0,12.15
24,Provideniya,0,RU,71,64.42,50.0,4.47
25,Lebu,8,ET,80,8.96,43.84,2.86
26,Bethel,90,US,76,60.79,55.4,10.29
27,Poum,20,MK,98,41.28,55.18,1.81
28,Evensk,0,RU,87,61.92,48.79,3.27
29,Victor Harbor,0,AU,75,-35.55,42.8,4.7
30,Castro,92,CL,100,-42.48,46.81,10.36
31,Tuktoyaktuk,75,CA,54,69.44,53.6,11.41
32,Lavrentiya,56,RU,86,65.58,40.42,18.19
33,Taoudenni,0,ML,13,22.68,93.52,13.89
34,Fairbanks,75,US,26,64.84,81.73,3.38
35,Vila Velha,40,BR,83,-3.71,78.8,9.17
36,Bambous Virieux,75,MU,100,-20.34,69.8,4.7
37,Batamshinskiy,0,KZ,54,50.56,57.2,11.18
38,Cabedelo,0,BR,83,-6.97,73.4,5.82
39,Hilo,75,US,66,19.71,77.2,11.41
40,Chilca,0,PE,22,-13.22,59.0,5.82
41,Diamantino,0,BR,77,-14.4,70.3,0.74
42,Tiznit,48,MA,92,29.7,63.1,3.53
43,Arraial do Cabo,0,BR,88,-22.97,68.0,4.7
44,Sibolga,48,ID,94,1.74,71.29,2.04
45,Hobart,75,AU,75,-42.88,44.6,10.29
46,Ribeira Grande,75,PT,73,38.52,71.6,4.7
47,Shizunai,68,JP,100,42.33,58.33,8.52
48,Umm Lajj,0,SA,53,25.02,89.92,16.96
49,Paamiut,92,GL,97,61.99,37.81,33.4
50,Vao,92,EE,98,59.1,60.49,11.03
51,Albany,40,US,44,42.65,76.98,12.75
52,Trapani,20,IT,77,38.02,70.0,5.82
53,Puerto Ayora,20,EC,61,-0.74,78.8,17.22
54,Vaini,92,IN,98,15.34,69.58,4.72
55,Takayama,0,JP,60,36.14,69.8,5.82
56,Xichang,92,CN,100,27.88,58.24,1.07
57,Busselton,44,AU,100,-33.64,55.36,4.76
58,Victoria,90,BN,94,5.28,75.92,4.83
59,Yeppoon,20,AU,67,-23.13,62.6,11.41
60,Hamilton,20,BM,74,32.3,80.6,14.99
61,Luziania,0,BR,67,-16.25,62.6,7.29
62,Havre-Saint-Pierre,40,CA,54,50.23,57.2,3.36
63,Abu Samrah,0,SY,82,35.3,68.86,11.36
64,Aranos,0,NA,45,-24.14,44.56,6.78
65,Nanortalik,88,GL,95,60.14,37.0,9.42
66,Necochea,0,AR,58,-38.55,47.8,17.69
67,Lac du Bonnet,12,CA,30,50.25,88.03,7.52
68,Kuytun,68,RU,68,54.34,65.62,6.51
69,Barrow,0,AR,46,-38.31,43.21,7.63
70,Bolu,92,TR,98,40.73,58.78,1.97
71,Porbandar,92,IN,78,21.64,84.61,13.89
72,Bichena,36,ET,81,10.45,58.51,2.08
73,Cape Town,75,ZA,87,-33.93,57.2,8.05
74,Tasiilaq,92,GL,93,65.61,37.4,1.12
75,Bluff,36,AU,68,-23.58,62.2,10.92
76,East London,0,ZA,100,-33.02,67.15,12.26
77,Dikson,0,RU,90,73.51,34.3,16.35
78,Kerrville,90,US,46,30.05,89.53,8.05
79,Hithadhoo,88,MV,100,-0.6,82.81,8.08
80,Terrace Bay,0,CA,81,48.78,45.82,3.2
81,Atuona,0,PF,100,-9.8,80.74,16.17
82,Saskylakh,64,RU,72,71.97,62.11,17.13
83,Rantepao,92,ID,100,-2.97,65.8,3.09
84,Ruidoso,40,US,30,33.33,95.79,6.93
85,Mayo,75,CA,24,63.59,82.4,6.93
86,Esperance,20,TT,94,10.24,78.8,5.82
87,Leningradskiy,0,RU,94,69.38,33.4,12.88
88,Los Llanos de Aridane,36,ES,73,28.66,69.8,11.41
89,Kedrovyy,0,RU,82,56.17,57.2,4.47
90,Ponta do Sol,48,BR,85,-20.63,62.02,2.48
91,Vardo,20,US,57,39.62,76.73,4.7
92,Hambantota,64,LK,100,6.12,76.33,12.82
93,Bembereke,64,BJ,98,10.23,69.31,6.33
94,Port Alfred,0,ZA,93,-33.59,58.51,8.34
95,Thompson,40,CA,35,55.74,84.2,8.05
96,Venice,20,US,70,27.1,87.19,9.17
97,Mar del Plata,80,AR,81,-46.43,40.33,7.56
98,Camden,1,US,44,39.94,81.0,4.7
99,Kisangani,76,CD,100,0.52,68.95,2.19
100,Baruun-Urt,80,MN,46,46.68,73.63,9.08
101,Flinders,0,AU,81,-34.58,42.8,11.41
102,Port Lincoln,8,AU,100,-34.72,50.41,8.75
103,Bredasdorp,64,ZA,62,-34.53,59.0,8.05
104,New Norfolk,75,AU,75,-42.78,44.6,10.29
105,Kaitangata,20,NZ,95,-46.28,36.55,5.61
106,Chokurdakh,0,RU,87,70.62,56.08,9.53
107,Caetes,88,BR,77,-8.77,67.6,9.13
108,Itarema,0,BR,71,-2.92,79.21,14.34
109,Constitucion,75,MX,18,23.99,84.2,13.87
110,Araouane,64,ML,16,18.9,85.42,5.1
111,Coquimbo,0,CL,87,-29.95,51.8,2.24
112,Torbay,75,CA,63,47.66,62.6,16.11
113,Pedernales,44,EC,74,0.07,76.96,5.88
114,Benguela,64,AO,100,-12.58,68.14,2.08
115,Anloga,20,GH,94,5.79,77.0,5.82
116,Hinton,80,CA,82,53.4,64.63,1.7
117,Kahului,40,US,55,20.89,82.81,23.04
118,Carnarvon,0,ZA,68,-30.97,27.1,3.6
119,Cidreira,64,BR,93,-30.17,61.93,12.26
120,Port Augusta,0,AU,100,-32.49,37.4,5.82
121,Turzovka,75,SK,82,49.41,56.25,5.82
122,Port Elizabeth,75,US,73,39.31,78.21,5.82
123,Christchurch,0,NZ,93,-43.53,35.6,3.04
124,Norman Wells,20,CA,56,65.28,73.4,14.99
125,Saint-Philippe,1,CA,39,45.36,67.57,6.93
126,Mount Isa,0,AU,32,-20.73,55.4,9.17
127,Makakilo City,20,US,55,21.35,85.53,10.29
128,Huarmey,0,PE,85,-10.07,59.5,2.3
129,Butaritari,48,KI,100,3.07,82.99,8.9
130,Parana,75,BR,69,-7.52,78.8,1.59
131,Cherskiy,0,RU,46,68.75,62.74,2.86
132,San Patricio,36,PY,65,-26.98,71.29,5.06
133,Upernavik,88,GL,94,72.79,33.67,0.02
134,Mahebourg,75,MU,100,-20.41,69.8,4.7
135,Lompoc,40,US,72,34.64,69.49,10.29
136,Lorengau,36,PG,99,-2.02,84.25,7.34
137,Severo-Kurilsk,100,RU,94,50.68,42.31,23.4
138,Sitka,0,US,36,37.17,88.21,10.8
139,Husavik,36,CA,39,50.56,86.59,6.85
140,Qaanaaq,12,GL,100,77.48,30.16,1.19
141,Senador Pompeu,0,BR,66,-5.58,69.13,2.37
142,Hermanus,44,ZA,90,-34.42,54.91,7.74
143,Iqaluit,75,CA,80,63.75,35.6,9.17
144,Goderich,44,CA,45,43.74,72.55,8.79
145,Saint George,20,GR,68,39.45,69.8,2.37
146,Southbridge,40,US,60,42.08,77.5,4.7
147,Luderitz,0,NA,88,-26.65,53.65,14.05
148,Adrar,0,DZ,20,27.87,95.0,13.87
149,Ust-Kalmanka,0,RU,42,52.12,69.04,6.78
150,Narsaq,92,GL,93,60.91,41.0,2.48
151,Namatanai,64,PG,100,-3.66,80.56,4.72
152,Scarborough,0,GB,81,54.28,54.16,2.24
153,Nakamura,75,JP,60,35.17,71.6,10.29
154,Ondjiva,0,AO,52,-17.07,49.78,4.21
155,Gorontalo,64,ID,93,0.54,75.61,0.81
156,Black River,40,JM,70,18.03,84.2,8.05
157,Pochutla,90,MX,66,15.74,87.06,7.07
158,Bima,24,ID,91,-8.45,77.32,4.38
159,Itaituba,8,BR,92,-4.26,75.25,1.74
160,Atbasar,32,KZ,86,51.81,59.95,5.28
161,Souillac,0,FR,52,45.6,66.02,12.75
162,Hobyo,12,SO,84,5.35,75.07,21.65
163,Pisco,90,PE,72,-13.71,64.4,5.82
164,Bandipur,48,IN,99,11.67,63.37,2.08
165,Tiksi,80,RU,73,71.64,51.31,3.87
166,Waingapu,0,ID,79,-9.65,75.7,9.53
167,Bonavista,68,CA,73,48.65,52.93,15.12
168,Damietta,0,EG,74,31.42,78.8,2.24
169,Ayan,64,TR,96,40.67,56.53,2.19
170,Srandakan,88,ID,94,-7.94,74.53,6.55
171,Dire,8,ET,80,9.18,43.84,2.86
172,Georgetown,20,GY,88,6.8,78.8,4.7
173,Shache,0,CN,67,38.42,56.26,3.53
174,Gamba,48,CN,92,28.28,27.46,2.04
175,Cayenne,20,GF,88,4.94,78.8,2.24
176,Acajutla,20,SV,83,13.59,81.39,4.7
177,Kuandian,0,CN,75,40.73,68.68,3.49
178,Hay River,75,CA,72,60.82,64.4,12.75
179,Fort Nelson,75,CA,29,58.81,89.6,8.05
180,Maryville,75,US,69,40.35,72.75,6.93
181,Cairns,20,AU,68,-16.92,71.6,12.75
182,Sabang,44,PH,100,13.72,79.3,4.09
183,Airai,44,TL,76,-8.93,71.83,2.08
184,Pingliang,0,CN,84,35.54,66.52,3.83
185,Sorong,88,ID,100,-0.86,75.88,0.18
186,Gat,0,SN,94,14.69,71.38,8.3
187,Meadow Lake,40,CA,32,54.13,84.2,8.05
188,Thaton,92,MM,100,16.91,75.43,8.75
189,Tura,92,IN,99,25.52,74.44,3.09
190,Burns Lake,48,CA,45,54.23,71.11,7.29
191,Conakry,68,GN,100,9.52,80.02,9.42
192,Melfort,75,CA,39,52.87,84.2,8.05
193,Praia da Vitoria,40,PT,82,38.73,68.0,6.22
194,Pendleton,90,US,100,34.65,74.3,6.93
195,Sorland,92,NO,100,67.67,47.08,5.55
196,Ancud,92,CL,97,-41.87,47.62,9.75
197,Vila Franca do Campo,20,PT,72,37.72,68.0,6.93
198,Phaltan,88,IN,96,17.99,71.83,6.51
199,Hays,1,US,34,38.88,83.01,18.34
200,Luis Correia,0,BR,83,-2.88,80.6,8.05
201,Santa Rosa,0,AR,67,-36.62,41.77,2.98
202,Tarrafal,0,CV,78,15.28,73.4,13.87
203,Nome,40,US,70,30.04,86.0,5.82
204,Alghero,0,IT,88,40.56,66.2,1.12
205,Sattahip,20,TH,78,12.67,78.8,3.36
206,Nouadhibou,0,MR,82,20.93,68.0,18.34
207,Maniitsoq,80,GL,81,65.42,39.7,4.99
208,Fort Frances,1,CA,39,48.61,84.2,5.32
209,Omsukchan,8,RU,41,62.53,60.22,4.99
210,Xique-Xique,0,BR,65,-10.82,75.97,14.83
211,Kavieng,36,PG,100,-2.57,84.25,4.21
212,Jaisalmer,0,IN,53,26.91,85.15,11.77
213,Muzhi,88,RU,81,65.4,57.16,17.18
214,Rabat,75,MA,72,34.02,68.0,3.36
215,Kavaratti,80,IN,100,10.57,78.85,15.28
